Data_Type,Value,Units,Time_or_Condition,Temperature_C,Substrate,Moisture,Source
Hatching,0,%,0_days_0_mg/kg,20,Artificial_soil,50%_WHC,Kovacevic_et_al_2023
Hatching,50,%,21_days_0_mg/kg,20,Artificial_soil,50%_WHC,Kovacevic_et_al_2023
Hatching,73.3,%,58_days_0_mg/kg,20,Artificial_soil,50%_WHC,Kovacevic_et_al_2023
Hatching,0,%,0_days_1_mg/kg,20,Artificial_soil,50%_WHC,Kovacevic_et_al_2023
Hatching,50,%,22_days_1_mg/kg,20,Artificial_soil,50%_WHC,Kovacevic_et_al_2023
Hatching,86.6,%,58_days_1_mg/kg,20,Artificial_soil,50%_WHC,Kovacevic_et_al_2023
Hatching,0,%,0_days_5_mg/kg,20,Artificial_soil,50%_WHC,Kovacevic_et_al_2023
Hatching,50,%,24_days_5_mg/kg,20,Artificial_soil,50%_WHC,Kovacevic_et_al_2023
Hatching,83.3,%,58_days_5_mg/kg,20,Artificial_soil,50%_WHC,Kovacevic_et_al_2023
Hatching,0,%,0_days_25_mg/kg,20,Artificial_soil,50%_WHC,Kovacevic_et_al_2023
Hatching,50,%,27_days_25_mg/kg,20,Artificial_soil,50%_WHC,Kovacevic_et_al_2023
Hatching,76.7,%,58_days_25_mg/kg,20,Artificial_soil,50%_WHC,Kovacevic_et_al_2023
Hatching,0,%,0_days_50_mg/kg,20,Artificial_soil,50%_WHC,Kovacevic_et_al_2023
Hatching,50,%,29_days_50_mg/kg,20,Artificial_soil,50%_WHC,Kovacevic_et_al_2023
Hatching,83.3,%,58_days_50_mg/kg,20,Artificial_soil,50%_WHC,Kovacevic_et_al_2023
Hatching,0,%,0_days_100_mg/kg,20,Artificial_soil,50%_WHC,Kovacevic_et_al_2023
Hatching,50,%,36.5_days_100_mg/kg,20,Artificial_soil,50%_WHC,Kovacevic_et_al_2023
Hatching,80,%,58_days_100_mg/kg,20,Artificial_soil,50%_WHC,Kovacevic_et_al_2023
