Data_Type,Value,Units,Time_or_Condition,Temperature_C,Substrate,Moisture,Source
Population_Biomass,9.12,g/container,0_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Population_Biomass,10.0,g/container,4_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Population_Biomass,11.0,g/container,8_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Population_Biomass,12.0,g/container,12_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Population_Biomass,13.0,g/container,16_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Population_Biomass,14.0,g/container,20_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Population_Biomass,15.0,g/container,24_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Population_Biomass,16.0,g/container,28_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Population_Biomass,17.0,g/container,32_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Population_Biomass,16.5,g/container,36_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Population_Biomass,16.0,g/container,40_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Population_Biomass,15.5,g/container,44_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Population_Biomass,15.0,g/container,48_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Population_Biomass,18.57,g/container,52_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Mean_Body_Weight,0.912,g/individual,0_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Mean_Body_Weight,1.00,g/individual,4_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Mean_Body_Weight,1.10,g/individual,8_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Mean_Body_Weight,1.20,g/individual,12_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Mean_Body_Weight,1.30,g/individual,16_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Mean_Body_Weight,1.40,g/individual,20_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Mean_Body_Weight,1.55,g/individual,24_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Mean_Body_Weight,1.65,g/individual,28_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Mean_Body_Weight,1.75,g/individual,32_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Mean_Body_Weight,1.70,g/individual,36_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Mean_Body_Weight,1.72,g/individual,40_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Mean_Body_Weight,1.78,g/individual,44_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Mean_Body_Weight,1.72,g/individual,48_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Mean_Body_Weight,2.24,g/individual,52_weeks,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
