Data_Type,Value,Units,Time_or_Condition,Temperature_C,Substrate,Moisture,Source
Lipid_Content,100,%,0%_OMW_CS_7_days,20,Artificial_soil,40%,Trigui_et_al_2022
Lipid_Content,90,%,5%_OMW_CS_7_days,20,Artificial_soil+OMW_CS,40%,Trigui_et_al_2022
Lipid_Content,85,%,10%_OMW_CS_7_days,20,Artificial_soil+OMW_CS,40%,Trigui_et_al_2022
Lipid_Content,80,%,25%_OMW_CS_7_days,20,Artificial_soil+OMW_CS,40%,Trigui_et_al_2022
Lipid_Content,60,%,50%_OMW_CS_7_days,20,Artificial_soil+OMW_CS,40%,Trigui_et_al_2022
Lipid_Content,100,%,0%_OMW_CS_28_days,20,Artificial_soil,40%,Trigui_et_al_2022
Lipid_Content,95,%,5%_OMW_CS_28_days,20,Artificial_soil+OMW_CS,40%,Trigui_et_al_2022
Lipid_Content,90,%,10%_OMW_CS_28_days,20,Artificial_soil+OMW_CS,40%,Trigui_et_al_2022
Lipid_Content,70,%,25%_OMW_CS_28_days,20,Artificial_soil+OMW_CS,40%,Trigui_et_al_2022
Lipid_Content,50,%,50%_OMW_CS_28_days,20,Artificial_soil+OMW_CS,40%,Trigui_et_al_2022
